,alphafold1_model_score,alphafold1_ipTM,alphafold1_pTM,plddt,pdb_file,score_file,dfparent_index,sequence_length,QCQA_verdict,PDB,SWISS,Comments
AERGLYC3PDEHYDROG-CPLX,0.326,0.26,0.59,91.9953493013972,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/AERGLYC3PDEHYDROG-CPLX.result/AERGLYC3PDEHYDROG-CPLX_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/AERGLYC3PDEHYDROG-CPLX.result/AERGLYC3PDEHYDROG-CPLX_scores_rank_001_alphafold2_multimer_v3_model_1_seed_000.json,AERGLYC3PDEHYDROG-CPLX,1002.0,Poor,,,
HigAB-CPLX,0.5100000076293946,0.49000000953674316,0.59,84.67521912350598,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/HigAB-CPLX.result/HigAB-CPLX_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/HigAB-CPLX.result/HigAB-CPLX_unrelaxed_rank_1_model_3_scores.json,HigAB-CPLX,1004.0,Good,,,
CPLX0-2901,0.8339999866485597,0.8299999833106995,0.85,90.68310515873017,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-2901.result/CPLX0-2901_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-2901.result/CPLX0-2901_unrelaxed_rank_1_model_3_scores.json,CPLX0-2901,1008.0,Auto,,,
CPLX0-1762,0.6459999961853028,0.6299999952316284,0.71,87.98048611111112,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-1762.result/CPLX0-1762_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-1762.result/CPLX0-1762_unrelaxed_rank_1_model_3_scores.json,CPLX0-1762,1008.0,Good,,,
LTARTDEHYDRA-CPLX,0.9419999980926514,0.9399999976158142,0.95,96.2091765873016,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/LTARTDEHYDRA-CPLX.result/LTARTDEHYDRA-CPLX_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/LTARTDEHYDRA-CPLX.result/LTARTDEHYDRA-CPLX_unrelaxed_rank_1_model_3_scores.json,LTARTDEHYDRA-CPLX,1008.0,Auto,,,
2-ISOPROPYLMALATESYN-MONOMER,0.9120000209808351,0.9100000262260437,0.92,93.46524856596558,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/2-ISOPROPYLMALATESYN-MONOMER.result/2-ISOPROPYLMALATESYN-MONOMER_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/2-ISOPROPYLMALATESYN-MONOMER.result/2-ISOPROPYLMALATESYN-MONOMER_unrelaxed_rank_1_model_3_scores.json,2-ISOPROPYLMALATESYN-MONOMER,1046.0,Auto,,,
SECD-SECF-YAJC-YIDC-CPLX,0.6499999885559082,0.6399999856948853,0.69,74.89687022900763,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/SECD-SECF-YAJC-YIDC-CPLX.result/SECD-SECF-YAJC-YIDC-CPLX_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/SECD-SECF-YAJC-YIDC-CPLX.result/SECD-SECF-YAJC-YIDC-CPLX_unrelaxed_rank_1_model_3_scores.json,SECD-SECF-YAJC-YIDC-CPLX,1048.0,Good,,,
b0409_1__b0408_1__b0407_1_,0.686,0.68,0.71,77.6453530534351,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/b0409_1__b0408_1__b0407_1_.result/b0409_1__b0408_1__b0407_1__unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/b0409_1__b0408_1__b0407_1_.result/b0409_1__b0408_1__b0407_1__scores_rank_001_alphafold2_multimer_v3_model_1_seed_000.json,b0409_1__b0408_1__b0407_1_,1048.0,Good,,,
b1264_1__b1263_1_,0.8240000000000001,0.86,0.68,90.20603235014273,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/b1264_1__b1263_1_.result/b1264_1__b1263_1__unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/b1264_1__b1263_1_.result/b1264_1__b1263_1__scores_rank_001_alphafold2_multimer_v3_model_1_seed_000.json,b1264_1__b1263_1_,1051.0,Auto,,,
BamAD-CPLX,0.8039999942779542,0.8199999928474426,0.74,86.8574691943128,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/BamAD-CPLX.result/BamAD-CPLX_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/BamAD-CPLX.result/BamAD-CPLX_unrelaxed_rank_1_model_3_scores.json,BamAD-CPLX,1055.0,Auto,,,
CPLX0-1162,0.5640000000000001,0.55,0.62,84.30951704545454,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-1162.result/CPLX0-1162_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-1162.result/CPLX0-1162_scores_rank_001_alphafold2_multimer_v3_model_1_seed_000.json,CPLX0-1162,1056.0,Good,,,
AICARTRANSIMPCYCLO-CPLX,0.7599999923706056,0.7599999904632568,0.76,93.38109640831757,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/AICARTRANSIMPCYCLO-CPLX.result/AICARTRANSIMPCYCLO-CPLX_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/AICARTRANSIMPCYCLO-CPLX.result/AICARTRANSIMPCYCLO-CPLX_unrelaxed_rank_1_model_3_scores.json,AICARTRANSIMPCYCLO-CPLX,1058.0,Good,,,
b1885_2_,0.562,0.56,0.57,79.93877110694181,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/b1885_2_.result/b1885_2__unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/b1885_2_.result/b1885_2__scores_rank_001_alphafold2_multimer_v3_model_1_seed_000.json,b1885_2_,1066.0,Good,,,
CPLX0-246_CPLX0-1342,0.9140000209808351,0.9100000262260437,0.93,94.00083639705883,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-246_CPLX0-1342.result/CPLX0-246_CPLX0-1342_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-246_CPLX0-1342.result/CPLX0-246_CPLX0-1342_unrelaxed_rank_1_model_3_scores.json,CPLX0-246_CPLX0-1342,1088.0,Auto,,,
b1421_2_,0.56,0.56,0.56,82.32575091575092,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/b1421_2_.result/b1421_2__unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/b1421_2_.result/b1421_2__scores_rank_001_alphafold2_multimer_v3_model_1_seed_000.json,b1421_2_,1092.0,Good,,,
NmPC-CPLX,0.9220000133514406,0.9200000166893005,0.93,91.06352511415525,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/NmPC-CPLX.result/NmPC-CPLX_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/NmPC-CPLX.result/NmPC-CPLX_unrelaxed_rank_1_model_3_scores.json,NmPC-CPLX,1095.0,Auto,,,
FUMARASE-A,0.9499999904632568,0.949999988079071,0.95,94.54470802919708,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/FUMARASE-A.result/FUMARASE-A_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/FUMARASE-A.result/FUMARASE-A_unrelaxed_rank_1_model_3_scores.json,FUMARASE-A,1096.0,Auto,no,no,dimer suggested in 1988
FUMARASE-B,0.9499999904632568,0.949999988079071,0.95,94.89366788321168,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/FUMARASE-B.result/FUMARASE-B_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/FUMARASE-B.result/FUMARASE-B_unrelaxed_rank_1_model_3_scores.json,FUMARASE-B,1096.0,Auto,no,no,dimer suggested in 2013
FUMARATE-REDUCTASE,0.9340000000000002,0.93,0.95,95.95535583941606,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/FUMARATE-REDUCTASE.result/FUMARATE-REDUCTASE_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/FUMARATE-REDUCTASE.result/FUMARATE-REDUCTASE_scores_rank_001_alphafold2_multimer_v3_model_1_seed_000.json,FUMARATE-REDUCTASE,1096.0,Auto,,,
yddL_CPLX,0.9200000133514405,0.9200000166893005,0.92,92.46584699453553,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/yddL_CPLX.result/yddL_CPLX_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/yddL_CPLX.result/yddL_CPLX_unrelaxed_rank_1_model_3_scores.json,yddL_CPLX,1098.0,Auto,,,
CPLX0-7955,0.21800000047683718,0.14000000059604645,0.53,82.45973588342441,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7955.result/CPLX0-7955_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7955.result/CPLX0-7955_unrelaxed_rank_1_model_3_scores.json,CPLX0-7955,1098.0,Change Recipe,,,
b4355_2_,0.59,0.59,0.59,83.2669056261343,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/b4355_2_.result/b4355_2__unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/b4355_2_.result/b4355_2__scores_rank_001_alphafold2_multimer_v3_model_1_seed_000.json,b4355_2_,1102.0,Good,,,
b1886_2_,0.532,0.53,0.54,81.25867992766727,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/b1886_2_.result/b1886_2__unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/b1886_2_.result/b1886_2__scores_rank_001_alphafold2_multimer_v3_model_1_seed_000.json,b1886_2_,1106.0,Good,,,
CPLX0-7837,0.4540000057220459,0.4300000071525574,0.55,86.21052346570399,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7837.result/CPLX0-7837_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7837.result/CPLX0-7837_unrelaxed_rank_1_model_3_scores.json,CPLX0-7837,1108.0,Poor,,,
CPLX0-3954,0.4939999990463257,0.4699999988079071,0.59,92.76065647482015,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-3954.result/CPLX0-3954_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-3954.result/CPLX0-3954_unrelaxed_rank_1_model_3_scores.json,CPLX0-3954,1112.0,Poor,,,
ABC-20-CPLX-MEM-b3480_1_b3479_1_b3477_1_b3478_1_,0.8339999866485597,0.8299999833106995,0.85,87.726316262354,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/ABC-20-CPLX-MEM-b3480_1_b3479_1_b3477_1_b3478_1_.result/ABC-20-CPLX-MEM-b3480_1_b3479_1_b3477_1_b3478_1__unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/ABC-20-CPLX-MEM-b3480_1_b3479_1_b3477_1_b3478_1_.result/ABC-20-CPLX-MEM-b3480_1_b3479_1_b3477_1_b3478_1__unrelaxed_rank_1_model_3_scores.json,ABC-20-CPLX,1113.0,Auto,,,
CPLX-168,0.7259999828338624,0.7099999785423279,0.79,88.6642062780269,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX-168.result/CPLX-168_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX-168.result/CPLX-168_unrelaxed_rank_1_model_3_scores.json,CPLX-168,1115.0,Good,,,
CPLX0-7675,0.9240000133514406,0.9200000166893005,0.94,96.24467023172905,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7675.result/CPLX0-7675_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7675.result/CPLX0-7675_unrelaxed_rank_1_model_3_scores.json,CPLX0-7675,1122.0,Auto,,,
ACYLCOASYN-CPLX,0.21600000047683718,0.14000000059604645,0.52,89.31535650623884,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/ACYLCOASYN-CPLX.result/ACYLCOASYN-CPLX_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/ACYLCOASYN-CPLX.result/ACYLCOASYN-CPLX_unrelaxed_rank_1_model_3_scores.json,ACYLCOASYN-CPLX,1122.0,Change Recipe,,,
CPLX-157,0.5939999866485596,0.5799999833106995,0.65,80.23756901157614,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX-157.result/CPLX-157_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX-157.result/CPLX-157_unrelaxed_rank_1_model_3_scores.json,CPLX-157,1123.0,Good,,,
CPLX0-1101,0.7540000076293946,0.7400000095367432,0.81,92.27200888888889,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-1101.result/CPLX0-1101_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-1101.result/CPLX0-1101_unrelaxed_rank_1_model_3_scores.json,CPLX0-1101,1125.0,Good,,,
ABC-21-CPLX,0.8160000019073487,0.8100000023841858,0.84,88.86460106382978,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/ABC-21-CPLX.result/ABC-21-CPLX_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/ABC-21-CPLX.result/ABC-21-CPLX_unrelaxed_rank_1_model_3_scores.json,ABC-21-CPLX,1128.0,Auto,,,
OmpN_tri,0.9200000133514405,0.9200000166893005,0.92,90.50633952254641,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/OmpN_tri.result/OmpN_tri_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/OmpN_tri.result/OmpN_tri_unrelaxed_rank_1_model_3_scores.json,OmpN_tri,1131.0,Auto,,,
HCAMULTI-CPLX,0.5760000019073487,0.5600000023841858,0.64,92.8803978779841,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/HCAMULTI-CPLX.result/HCAMULTI-CPLX_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/HCAMULTI-CPLX.result/HCAMULTI-CPLX_unrelaxed_rank_1_model_3_scores.json,HCAMULTI-CPLX,1131.0,Poor,,,
CPLX0-1669,0.8919999885559083,0.8899999856948853,0.9,90.60259717314487,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-1669.result/CPLX0-1669_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-1669.result/CPLX0-1669_unrelaxed_rank_1_model_3_scores.json,CPLX0-1669,1132.0,Auto,,,
RIBULOKIN-CPLX,0.9100000209808351,0.9100000262260437,0.91,94.74741166077739,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/RIBULOKIN-CPLX.result/RIBULOKIN-CPLX_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/RIBULOKIN-CPLX.result/RIBULOKIN-CPLX_unrelaxed_rank_1_model_3_scores.json,RIBULOKIN-CPLX,1132.0,Auto,,,
NARQ-CPLX,0.6120000114440918,0.6100000143051147,0.62,85.80805653710247,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/NARQ-CPLX.result/NARQ-CPLX_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/NARQ-CPLX.result/NARQ-CPLX_unrelaxed_rank_1_model_3_scores.json,NARQ-CPLX,1132.0,Good,,,
CPLX0-7745,0.8399999790191651,0.8399999737739563,0.84,86.02035087719298,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7745.result/CPLX0-7745_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7745.result/CPLX0-7745_unrelaxed_rank_1_model_3_scores.json,CPLX0-7745,1140.0,Auto,,,
PROS-CPLX,0.9120000209808351,0.9100000262260437,0.92,95.43314685314684,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/PROS-CPLX.result/PROS-CPLX_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/PROS-CPLX.result/PROS-CPLX_unrelaxed_rank_1_model_3_scores.json,PROS-CPLX,1144.0,Auto,,,
CPLX0-240,0.9419999980926514,0.9399999976158142,0.95,95.55492132867133,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-240.result/CPLX0-240_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-240.result/CPLX0-240_unrelaxed_rank_1_model_3_scores.json,CPLX0-240,1144.0,Auto,,,
THIOESTERII-CPLX,0.9220000133514406,0.9200000166893005,0.93,94.11432692307692,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/THIOESTERII-CPLX.result/THIOESTERII-CPLX_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/THIOESTERII-CPLX.result/THIOESTERII-CPLX_unrelaxed_rank_1_model_3_scores.json,THIOESTERII-CPLX,1144.0,Auto,,,
Pro_RS_dim,0.9120000209808351,0.9100000262260437,0.92,95.43313811188811,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/Pro_RS_dim.result/Pro_RS_dim_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/Pro_RS_dim.result/Pro_RS_dim_unrelaxed_rank_1_model_3_scores.json,Pro_RS_dim,1144.0,Auto,,,
CPLX0-231,0.6579999885559082,0.6399999856948853,0.73,84.38557591623037,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-231.result/CPLX0-231_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-231.result/CPLX0-231_unrelaxed_rank_1_model_3_scores.json,CPLX0-231,1146.0,Good,,,
ABC-54-CPLX,0.7019999904632569,0.699999988079071,0.71,78.23101045296167,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/ABC-54-CPLX.result/ABC-54-CPLX_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/ABC-54-CPLX.result/ABC-54-CPLX_unrelaxed_rank_1_model_3_scores.json,ABC-54-CPLX,1148.0,Good,,,
CPLX0-1668,0.8899999885559083,0.8899999856948853,0.89,92.90704347826087,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-1668.result/CPLX0-1668_unrelaxed_rank_1_model_5.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-1668.result/CPLX0-1668_unrelaxed_rank_1_model_5_scores.json,CPLX0-1668,1150.0,Auto,,,
CPLX0-7885,0.8360000000000001,0.83,0.86,88.46946551724137,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7885.result/CPLX0-7885_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7885.result/CPLX0-7885_scores_rank_001_alphafold2_multimer_v3_model_1_seed_000.json,CPLX0-7885,1160.0,Auto,,,
ABC-6-CPLX,0.8159999866485597,0.8299999833106995,0.76,86.21880275624461,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/ABC-6-CPLX.result/ABC-6-CPLX_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/ABC-6-CPLX.result/ABC-6-CPLX_unrelaxed_rank_1_model_3_scores.json,ABC-6-CPLX,1161.0,Auto,,,
ABC-12-CPLX,0.8239999942779542,0.8199999928474426,0.84,89.55818181818182,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/ABC-12-CPLX.result/ABC-12-CPLX_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/ABC-12-CPLX.result/ABC-12-CPLX_unrelaxed_rank_1_model_3_scores.json,ABC-12-CPLX,1166.0,Auto,,,
CPLX-63,0.8379999866485597,0.8299999833106995,0.87,89.11072340425531,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX-63.result/CPLX-63_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX-63.result/CPLX-63_unrelaxed_rank_1_model_3_scores.json,CPLX-63,1175.0,Auto,,,
