Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Names	Component-Of	Locations
mtr	b3161	3304573	3305817	tryptophan:H<sup>+</sup> symporter Mtr	mtr // b3161 // ECK3149		inner membrane
mug	b3068	3214967	3215473	stationary phase mismatch/uracil DNA glycosylase	mug // ygjF // b3068 // ECK3058		cytosol
mukB	b0924	976326	980786	chromosome partitioning protein MukB	mukB // b0924 // ECK0915	chromosome partitioning protein MukB	bacterial nucleoid // cytosol
mukE	b0923	975622	976326	chromosome partitioning protein MukE	mukE // kicA // ycbA // b0923 // ECK0914	MukEF complex	bacterial nucleoid // cytosol
mukF	b0922	974319	975641	chromosome partitioning protein MukF	mukF // kicB // b0922 // ECK0913	MukF dimer	bacterial nucleoid // cytosol
murA	b3189	3335235	3336494	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	murA // mrbA // murZ // b3189 // ECK3178		cytosol
murB	b3972	4172057	4173085	UDP-<i>N</i>-acetylenolpyruvoylglucosamine reductase	murB // yijB // b3972 // ECK3964		cytosol
murC	b0091	100765	102240	UDP-<i>N</i>-acetylmuramate&mdash;L-alanine ligase	murC // b0091 // ECK0092	UDP-<i>N</i>-acetylmuramate&mdash;L-alanine ligase	cytosol
murD	b0088	97087	98403	UDP-<i>N</i>-acetylmuramoyl-L-alanine&mdash;D-glutamate ligase	murD // b0088 // ECK0089		cytosol
murE	b0085	93166	94653	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	murE // b0085 // ECK0086		cytosol
murF	b0086	94650	96008	D-alanyl-D-alanine-adding enzyme	murF // mra // b0086 // ECK0087		cytosol
murG	b0090	99644	100711	N-acetylglucosaminyl transferase	murG // b0090 // ECK0091		inner membrane
murI	b3967	4165428	4166285	glutamate racemase	murI // yijA // dga // glr // b3967 // ECK3959		cytosol
murJ	b1069	1127839	1129374	lipid II flippase MurJ	murJ // mviN // yceN // b1069 // ECK1054		inner membrane
murP	b2429	2546673	2548097	N-acetylmuramic acid-specific PTS enzyme IICB component / anhydro-N-acetylmuramic acid transporter	murP // yfeV // b2429 // ECK2424	N-acetylmuramic acid-specific PTS enzyme II	inner membrane
murQ	b2428	2545773	2546669	<i>N</i>-acetylmuramic acid 6-phosphate etherase	murQ // yfeU // b2428 // ECK2423	<i>N</i>-acetylmuramic acid 6-phosphate etherase	cytosol
murR	b2427	2544752	2545609	DNA-binding transcriptional dual regulator MurR	murR // yfeT // b2427 // ECK2422	MurR-<i>N</i>-acetyl-D-muramate 6-phosphate // DNA-binding transcriptional dual regulator MurR	cytosol
mutH	b2831	2969662	2970351	DNA mismatch repair protein MutH	mutH // mutR // prv // b2831 // ECK2827	MutHLS complex, methyl-directed mismatch repair	cytosol
mutL	b4170	4397412	4399259	DNA mismatch repair protein MutL	mutL // b4170 // ECK4166	MutHLS complex, methyl-directed mismatch repair	cytosol
mutM	b3635	3810343	3811152	DNA-formamidopyrimidine glycosylase	mutM // fpg // b3635 // ECK3625		cytosol
mutS	b2733	2857093	2859654	DNA mismatch repair protein MutS	mutS // ant // plm // fdv // b2733 // ECK2728	MutHLS complex, methyl-directed mismatch repair	cytosol
mutT	b0099	111044	111433	8-oxo-dGTP diphosphatase	mutT // nudA // b0099 // ECK0100		cytosol
mutY	b2961	3103013	3104065	adenine DNA glycosylase	mutY // micA // b2961 // ECK2956		periplasmic space // cytosol
mzrA	b3096	3248439	3248822	modulator protein MzrA	mzrA // ecfM // yqjB // b3096 // ECK3087		inner membrane
nac	b1988	2061016	2061933	DNA-binding transcriptional dual regulator Nac	nac // b1988 // ECK1983		cytosol
nadA	b0750	782085	783128	quinolinate synthase	nadA // nicA // b0750 // ECK0739	quinolinate synthase	cytosol
nadB	b2574	2710420	2712042	L-aspartate oxidase	nadB // nic // nicB // b2574 // ECK2572		cytosol
nadC	b0109	117752	118645	quinolinate phosphoribosyltransferase (decarboxylating)	nadC // b0109 // ECK0108	quinolinate phosphoribosyltransferase (decarboxylating)	cytosol
nadD	b0639	669931	670572	nicotinate-nucleotide adenylyltransferase	nadD // ybeN // fusB // b0639 // ECK0632		cytosol
nadE	b1740	1822458	1823285	NH<sub>3</sub>-dependent NAD<sup>+</sup> synthetase	nadE // efg // ntrL // b1740 // ECK1738	NH<sub>3</sub>-dependent NAD<sup>+</sup> synthetase	cytosol
nadK	b2615	2750831	2751709	NAD kinase	nadK // yfjE // yfjB // b2615 // ECK2611	NAD kinase	cytosol
nadR	b4390	4627315	4628547	DNA-binding transcriptional repressor/NMN adenylyltransferase NadR	nadR // nadI // b4390 // ECK4382	DNA-binding transcriptional repressor/NMN adenylyltransferase NadR	inner membrane // cytosol
nagA	b0677	701603	702751	<i>N</i>-acetylglucosamine-6-phosphate deacetylase	nagA // b0677 // ECK0665	N-acetylglucosamine-6-phosphate deacetylase	cytosol
nagB	b0678	702811	703611	glucosamine-6-phosphate deaminase	nagB // glmD // b0678 // ECK0666	glucosamine-6-phosphate deaminase	cytosol
nagC	b0676	700374	701594	DNA-binding transcriptional dual regulator NagC	nagC // nagR // b0676 // ECK0664	NagC-<i>N</i>-acetyl-D-glucosamine 6-phosphate	cytosol
nagE	b0679	703944	705890	N-acetylglucosamine-specific PTS enzyme IIABC component	nagE // pstN // ptsN // b0679 // ECK0667	N-acetylglucosamine-specific PTS enzyme II	inner membrane
nagK	b1119	1178593	1179504	<i>N</i>-acetyl-D-glucosamine kinase	nagK // ycfX // b1119 // ECK1105		cytosol
nagZ	b1107	1164095	1165120	&beta;-<i>N</i>-acetylglucosaminidase	nagZ // ycfO // b1107 // ECK1093		cytosol
nanA	b3225	3372683	3373576	<i>N</i>-acetylneuraminate lyase	nanA // b3225 // ECK3214	N-acetylneuraminate lyase	cytosol
nanC	b4311	4538785	4539501	<i>N</i>-acetylneuraminate outer membrane channel	nanC // yjhA // b4311 // ECK4302		outer membrane
nanE	b3223	3370347	3371036	probable <i>N</i>-acetylmannosamine-6-phosphate 2-epimerase	nanE // yhcJ // b3223 // ECK3212		cytosol
nanK	b3222	3369475	3370350	<i>N</i>-acetylmannosamine kinase	nanK // yhcI // b3222 // ECK3211	<i>N</i>-acetylmannosamine kinase	cytosol
nanM	b4310	4537659	4538765	<i>N</i>-acetylneuraminate mutarotase	nanM // yjhT // b4310 // ECK4301	<i>N</i>-acetylneuraminate mutarotase	periplasmic space
nanQ	b3221	3369014	3369478	<i>N</i>-acetylneuraminate anomerase	nanQ // yhcH // b3221 // ECK3210		cytosol
nanR	b3226	3373698	3374489	NanR	nanR // yhcK // b3226 // ECK3215	DNA-binding transcriptional dual regulator NanR	cytosol
nanS	b4309	4536614	4537594	<i>N</i>-acetyl-9-<i>O</i>-acetylneuraminate esterase	nanS // yjhS // b4309 // ECK4300		periplasmic space
nanT	b3224	3371084	3372574	<i>N</i>-acetylneuraminate:H<sup>+</sup> symporter	nanT // b3224 // ECK3213		inner membrane
nanX	b4279	4504058	4505275	sialic acid transporter NanX	nanX // yjhB // b4279 // ECK4269		inner membrane
nanY	b4280	4505287	4506405	KpLE2 phage-like element; 2,7-anhydro-<i>N</i>-acetylneuraminate hydratase	nanY // yjhC // b4280 // ECK4270	KpLE2 phage-like element; 2,7-anhydro-<i>N</i>-acetylneuraminate hydratase	
napA	b2206	2300267	2302753	periplasmic nitrate reductase subunit NapA	napA // yojD // yojC // yojE // b2206 // ECK2198	periplasmic nitrate reductase	periplasmic space
napB	b2203	2298269	2298718	periplasmic nitrate reductase cytochrome c<SUB>550</SUB> protein	napB // yejY // b2203 // ECK2195	periplasmic nitrate reductase	periplasmic space
napC	b2202	2297657	2298259	periplasmic nitrate reductase cytochrome c protein	napC // yejX // b2202 // ECK2194		inner membrane
napD	b2207	2302750	2303013	NapA signal peptide-binding chaperone NapD	napD // yojF // b2207 // ECK2199		cytosol
napF	b2208	2303003	2303497	ferredoxin-type protein	napF // yojG // b2208 // ECK2200		periplasmic space // cytosol
napG	b2205	2299565	2300260	ferredoxin-type protein NapG	napG // yojA // yojB // b2205 // ECK2197	ubiquinol&mdash;[NapC cytochrome <i>c</i>] reductase NapGH	cytosol // periplasmic space // inner membrane
napH	b2204	2298715	2299578	ferredoxin-type protein NapH	napH // yejZ // b2204 // ECK2196	ubiquinol&mdash;[NapC cytochrome <i>c</i>] reductase NapGH	inner membrane
narG	b1224	1279864	1283607	nitrate reductase A subunit &alpha;	narG // chlC // narC // b1224 // ECK1218	nitrate reductase A	inner membrane
narH	b1225	1283604	1285142	nitrate reductase A subunit &beta;	narH // chlC // b1225 // ECK1219	nitrate reductase A	inner membrane
narI	b1227	1285849	1286526	nitrate reductase A subunit &gamma;	narI // chlI // b1227 // ECK1221	nitrate reductase A	inner membrane
narJ	b1226	1285139	1285849	nitrate reductase 1 molybdenum cofactor assembly chaperone	narJ // b1226 // ECK1220		cytosol
narK	b1223	1277957	1279348	nitrate:nitrite antiporter NarK	narK // b1223 // ECK1217		inner membrane
narL	b1221	1275179	1275829	DNA-binding transcriptional dual regulator NarL-phosphorylated // DNA-binding transcriptional dual regulator NarL	narL // frdR // narR // b1221 // ECK1215		cytosol
naRNA1		4326305	4326381	naRNA1	naRNA1		
naRNA2		4326205	4326281	naRNA2	naRNA2		
naRNA3		4326105	4326181	naRNA3	naRNA3		
naRNA4		4326005	4326081	naRNA4	naRNA4		
naRNA5		4325905	4325981	naRNA5	naRNA5		
naRNA6		4325805	4325881	naRNA6	naRNA6		
narP	b2193	2290500	2291147	DNA-binding transcriptional dual regulator NarP-phosphorylated // DNA-binding transcriptional dual regulator NarP	narP // b2193 // ECK2185		cytosol
narQ	b2469	2585731	2587431	sensor histidine kinase NarQ	narQ // b2469 // ECK2464	sensor histidine kinase NarQ	inner membrane
narU	b1469	1542672	1544060	nitrate/nitrite transporter NarU	narU // yddF // b1469 // ECK1463		inner membrane
narV	b1465	1535937	1536617	nitrate reductase Z subunit &gamma;	narV // chlZ // b1465 // ECK1459	nitrate reductase Z	inner membrane
narW	b1466	1536614	1537309	NarW, putative private chaperone for NarZ nitrate reductase subunit	narW // chlZ // b1466 // ECK1460		cytosol
narX	b1222	1275822	1277618	sensor histidine kinase NarX	narX // frdR // narR // frd1 // b1222 // ECK1216	sensor histidine kinase NarX	inner membrane // periplasmic space
narY	b1467	1537309	1538853	nitrate reductase Z subunit &beta;	narY // chlZ // b1467 // ECK1461	nitrate reductase Z	inner membrane // cytosol
narZ	b1468	1538850	1542590	nitrate reductase Z subunit &alpha;	narZ // chlZ // b1468 // ECK1462	nitrate reductase Z	inner membrane
nc1		297137	297304	small noncoding RNA involved in nucleoid organization	nc1		bacterial nucleoid
ndh	b1109	1166085	1167389	NADH:quinone oxidoreductase II	ndh // b1109 // ECK1095		inner membrane
ndk	b2518	2644433	2644864	nucleoside diphosphate kinase	ndk // b2518 // ECK2514	nucleoside diphosphate kinase	cytosol
nei	b0714	745935	746726	endonuclease VIII	nei // b0714 // ECK0703		cytosol
nemA	b1650	1726659	1727756	<i>N</i>-ethylmaleimide reductase	nemA // ydhN // b1650 // ECK1646		cytosol
nemR	b1649	1726023	1726622	DNA-binding transcriptional repressor NemR	nemR // ydhM // b1649 // ECK1645	NemR-methylglyoxal	cytosol
nepI	b3662	3840549	3841739	purine ribonucleoside exporter	nepI // yicM // b3662 // ECK3653		inner membrane
nfeF	b3070	3215727	3216491	NADPH-dependent ferric-chelate reductase	nfeF // yqjH // b3070 // ECK3060		cytosol
nfeR	b3071	3216779	3217402	DNA-binding transcriptional repressor NfeR	nfeR // yqjI // b3071 // ECK3061	NfeR-Ni<SUP>2+</SUP>	cytosol
nfi	b3998	4198790	4199461	endonuclease V	nfi // yjaF // b3998 // ECK3990		cytosol
nfo	b2159	2250840	2251697	endonuclease IV	nfo // b2159 // ECK2152		cytosol
nfrA	b0568	587982	590954	exopolysaccharide secretion system outer membrane protein NfrA	nfrA // b0568 // ECK0560		outer membrane
nfrB	b0569	590941	593178	cyclic di-3',5'-guanylate-activated glycosyltransferase	nfrB // b0569 // ECK0561		inner membrane
nfsA	b0851	891184	891906	NADPH-dependent nitro/quinone reductase NfsA	nfsA // mda18 // mdaA // ybjB // b0851 // ECK0842	NADPH-dependent nitro/quinone reductase NfsA	cytosol
nfsB	b0578	604771	605424	NAD(P)H-dependent nitroreductase NfsB	nfsB // ntr // dprA // nfnB // b0578 // ECK0570	NAD(P)H-dependent nitroreductase NfsB	cytosol // membrane
nfuA	b3414	3545624	3546199	iron-sulfur cluster carrier protein NfuA	nfuA // yhgI // gntY // b3414 // ECK3401	iron-sulfur cluster carrier protein NfuA	cytosol
nhaA	b0019	17489	18655	Na<sup>+</sup>:H<sup>+</sup> antiporter NhaA	nhaA // ant // antA // b0019 // ECK0020	Na<sup>+</sup>:H<sup>+</sup> antiporter NhaA	inner membrane
nhaB	b1186	1233176	1234717	Na<sup>+</sup>:H<sup>+</sup> antiporter NhaB	nhaB // b1186 // ECK1174		inner membrane
nhaR	b0020	18715	19620	DNA-binding transcriptional activator NhaR	nhaR // antO // yaaB // b0020 // ECK0021	NhaR-Na<SUP>+</SUP> DNA-binding transcriptional activator	cytosol
nhoA	b1463	1534024	1534869	arylamine <i>N</i>-acetyltransferase	nhoA // yddI // b1463 // ECK1457	arylamine <i>N</i>-acetyltransferase	cytosol
nikA	b3476	3613667	3615241	Ni(2+) ABC transporter periplasmic binding protein	nikA // hydD // hydC // b3476 // ECK3460	Ni(2+) ABC transporter	inner membrane // periplasmic space
nikB	b3477	3615241	3616185	Ni(2+) ABC transporter membrane subunit NikB	nikB // hydC // hydD // b3477 // ECK3461	Ni(2+) ABC transporter	inner membrane
nikC	b3478	3616182	3617015	Ni(2+) ABC transporter membrane subunit NikC	nikC // hydD // hydC // b3478 // ECK3462	Ni(2+) ABC transporter	inner membrane
nikD	b3479	3617015	3617779	Ni(2+) ABC transporter ATP binding subunit NikD	nikD // hydD // hydC // b3479 // ECK3463	Ni(2+) ABC transporter	inner membrane
nikE	b3480	3617776	3618582	Ni(2+) ABC transporter ATP binding subunit NikE	nikE // hydD // hydC // b3480 // ECK3464	Ni(2+) ABC transporter	inner membrane // cytosol
nikR	b3481	3618588	3618989	DNA-binding transcriptional repressor NikR	nikR // yhhG // b3481 // ECK3465	NikR-Ni transcriptional repressor	cytosol
nimR	b1790	1874755	1875576	DNA-binding transcriptional repressor NimR	nimR // yeaM // b1790 // ECK1788		cytosol
nimT	b1791	1875673	1876854	2-nitroimidazole exporter	nimT // yeaN // b1791 // ECK1789		inner membrane
ninE	b0548	572921	573091	DLP12 prophage; NinE family prophage protein	ninE // b0548 // ECK0539		
nirB	b3365	3494011	3496554	nitrite reductase (NADH) large subunit	nirB // b3365 // ECK3353	nitrite reductase (NADH) small subunit // nitrite reductase (NADH) large subunit	cytosol
nirC	b3367	3497003	3497809	nitrite transporter NirC	nirC // b3367 // ECK3355		inner membrane
nirD	b3366	3496551	3496877	nitrite reductase (NADH) small subunit	nirD // b3366 // ECK3354	nitrite reductase (NADH) small subunit // nitrite reductase (NADH) large subunit	cytosol
nlpA	b3661	3839175	3839993	lipoprotein-28	nlpA // b3661 // ECK3651		inner membrane
nlpC	b1708	1792267	1792731	NlpC/P60 family lipoprotein NlpC	nlpC // b1708 // ECK1706		inner membrane // periplasmic space
nlpD	b2742	2867614	2868753	murein hydrolase activator NlpD	nlpD // b2742 // ECK2737		inner membrane // outer membrane
nlpE	b0192	215269	215979	sensor lipoprotein NlpE	nlpE // cutF // b0192 // ECK0192		periplasmic space // outer membrane
nlpI	b3163	3308040	3308924	lipoprotein NlpI	nlpI // yhbM // b3163 // ECK3151	lipoprotein NlpI	inner membrane // outer membrane
nmpC	b0553			DLP12 prophage; putative outer membrane porin NmpC	nmpC // phmA // b0553 // ECK0544		outer membrane
nnr	b4167	4394066	4395613	NAD(P)HX epimerase / NAD(P)HX dehydratase	nnr // yjeF // b4167 // ECK4163		cytosol
nohA	b1548	1635798	1636367	Qin prophage; putative prophage DNA-packaging protein NohA	nohA // nohQ // b1548 // ECK1541		cytosol
nohD	b0560	580834	581379	DLP12 prophage; putative DNA-packaging protein NohD	nohD // nohB // b0560 // ECK0552		cytosol
norR	b2709	2830775	2832289	DNA-binding transcriptional dual regulator NorR	norR // ygaA // b2709 // ECK2704		cytosol
norV	b2710	2832476	2833915	anaerobic nitric oxide reductase flavorubredoxin	norV // ygaJ // ygaI // ygaK // b2710 // ECK2705	reduced flavorubredoxin	cytosol
norW	b2711	2833912	2835045	NADH:flavorubredoxin reductase	norW // ygaL // ygbD // b2711 // ECK2706		cytosol
npr	b3206	3347966	3348238	Npr-<i>N</i>-phospho-L-histidine // phosphorelay protein NPr	npr // yhbK // ptsO // rpoR // b3206 // ECK3195		cytosol
nrdA	b2234	2344865	2347150	ribonucleoside-diphosphate reductase 1 subunit &alpha;	nrdA // dnaF // b2234 // ECK2226	ribonucleoside-diphosphate reductase 1, &alpha; subunit dimer	cytosol
nrdB	b2235	2347384	2348514	ribonucleoside-diphosphate reductase 1 subunit &beta;	nrdB // ftsB // b2235 // ECK2227	ribonucleoside-diphosphate reductase 1, &beta; subunit dimer	cytosol
nrdD	b4238	4460522	4462660	anaerobic ribonucleoside-triphosphate reductase	nrdD // b4238 // ECK4233	anaerobic ribonucleoside-triphosphate reductase	cytosol
nrdE	b2675	2801348	2803492	ribonucleoside-diphosphate reductase 2 subunit &alpha;	nrdE // b2675 // ECK2669	ribonucleoside-diphosphate reductase 2, &alpha; subunit dimer	cytosol
nrdF	b2676	2803502	2804461	ribonucleoside-diphosphate reductase 2 subunit &beta;	nrdF // ygaD // b2676 // ECK2670	ribonucleoside-diphosphate reductase 2, &beta; subunit dimer	cytosol
nrdG	b4237	4459900	4460364	anaerobic ribonucleoside-triphosphate reductase activating protein	nrdG // yjgE // b4237 // ECK4232	anaerobic ribonucleoside-triphosphate reductase activating protein	cytosol
nrdH	b2673	2800723	2800968	glutaredoxin-like protein NrdH	nrdH // ygaN // b2673 // ECK2667		cytosol
nrdI	b2674	2800965	2801375	dimanganese-tyrosyl radical cofactor maintenance flavodoxin NrdI	nrdI // ygaO // b2674 // ECK2668		cytosol
nrdR	b0413	433002	433451	NrdR transcriptional repressor	nrdR // ybaD // b0413 // ECK0407	NrdR-Zn<sup>2+</sup> DNA-binding transcriptional repressor	cytosol
nrfA	b4070	4287764	4289200	cytochrome <i>c</i><sub>552</sub> nitrite reductase	nrfA // b4070 // ECK4063	periplasmic nitrite reductase NrfAB	periplasmic space
nrfB	b4071	4289245	4289811	periplasmic nitrite reductase penta-heme <i>c</i>-type cytochrome	nrfB // yjcI // b4071 // ECK4064	periplasmic nitrite reductase NrfAB	periplasmic space
nrfC	b4072	4289808	4290479	putative menaquinol-cytochrome <i>c</i> reductase 4Fe-4S subunit	nrfC // yjcJ // b4072 // ECK4065	putative menaquinol-cytochrome <i>c</i> reductase NrfCD	cytosol // inner membrane
nrfD	b4073	4290476	4291432	putative menaquinol-cytochrome <i>c</i> reductase subunit NrfD	nrfD // yjcK // b4073 // ECK4066	putative menaquinol-cytochrome <i>c</i> reductase NrfCD	inner membrane
nrfE	b4074	4291512	4293170	putative cytochrome c-type biogenesis protein NrfE	nrfE // yjcL // b4074 // ECK4067		inner membrane
nrfF	b4075	4293163	4293546	putative formate-dependent nitrite reductase complex subunit NrfF	nrfF // yjcM // b4075 // ECK4068		inner membrane // periplasmic space
nrfG	b4076	4293543	4294139	putative formate-dependent nitrite reductase complex subunit NrfG	nrfG // yjcN // aidC // b4076 // ECK4069		inner membrane // periplasmic space
nsrR	b4178	4406190	4406615	DNA-binding transcriptional regulator NsrR	nsrR // yjeB // b4178 // ECK4174	NsrR-nitric oxide // DNA-binding transcriptional dual regulator NsrR	cytosol
nth	b1633	1711523	1712158	endonuclease III	nth // b1633 // ECK1629		cytosol
nudB	b1865	1948180	1948632	dihydroneopterin triphosphate diphosphatase	nudB // yebD // ntpA // b1865 // ECK1866		cytosol
nudC	b3996	4196903	4197676	RNA decapping hydrolase	nudC // yjaD // b3996 // ECK3988	RNA decapping hydrolase	cytosol
nudE	b3397	3525589	3526149	ADP-sugar diphosphatase NudE	nudE // yrfE // b3397 // ECK3384	ADP-sugar diphosphatase NudE	cytosol
nudF	b3034	3177281	3177910	ADP-sugar pyrophosphatase	nudF // trgB // aspP // yqiE // b3034 // ECK3025	ADP-sugar pyrophosphatase	cytosol
nudG	b1759	1841490	1841897	5-hydroxy-CTP diphosphatase	nudG // ynjG // orf135 // b1759 // ECK1757		cytosol
nudI	b2251	2364554	2364979	pyrimidine deoxynucleotide diphosphatase NudI	nudI // yfaO // b2251 // ECK2244		cytosol
nudJ	b1134	1193827	1194288	phosphatase NudJ	nudJ // ymfB // b1134 // ECK1120		cytosol
nudK	b2467	2582903	2583478	GDP-mannose hydrolase	nudK // yffH // b2467 // ECK2462	GDP-mannose hydrolase	cytosol
nudL	b1813	1896170	1896748	putative NUDIX hydrolase with low 3-phosphohydroxypyruvate phosphatase activity	nudL // yeaB // b1813 // ECK1811		cytosol
nuoA	b2288	2404629	2405072	NADH:quinone oxidoreductase subunit A	nuoA // b2288 // ECK2282	NADH:quinone oxidoreductase I	inner membrane
nuoB	b2287	2403951	2404613	NADH:quinone oxidoreductase subunit B	nuoB // b2287 // ECK2281	NADH:quinone oxidoreductase I, peripheral arm	inner membrane
nuoC	b2286	2402055	2403845	NADH:quinone oxidoreductase subunit CD	nuoC // nuoD // b2286 // ECK2280	NADH:quinone oxidoreductase I, peripheral arm	cytosol // inner membrane
nuoE	b2285	2401552	2402052	NADH:quinone oxidoreductase subunit E	nuoE // b2285 // ECK2279	NADH:quinone oxidoreductase I, peripheral arm	inner membrane
nuoF	b2284	2400218	2401555	NADH:quinone oxidoreductase subunit F	nuoF // b2284 // ECK2278	NADH:quinone oxidoreductase I, peripheral arm	inner membrane
nuoG	b2283	2397439	2400165	NADH:quinone oxidoreductase subunit G	nuoG // b2283 // ECK2277	NADH:quinone oxidoreductase I, peripheral arm	cytosol // inner membrane
nuoH	b2282	2396465	2397442	NADH:quinone oxidoreductase subunit H	nuoH // b2282 // ECK2276	NADH:quinone oxidoreductase I	inner membrane
nuoI	b2281	2395908	2396450	NADH:quinone oxidoreductase subunit I	nuoI // b2281 // ECK2275	NADH:quinone oxidoreductase I, peripheral arm	inner membrane
nuoJ	b2280	2395342	2395896	NADH:quinone oxidoreductase subunit J	nuoJ // b2280 // ECK2274	NADH:quinone oxidoreductase I	inner membrane
nuoK	b2279	2395043	2395345	NADH:quinone oxidoreductase subunit K	nuoK // b2279 // ECK2273	NADH:quinone oxidoreductase I	inner membrane
nuoL	b2278	2393205	2395046	NADH:quinone oxidoreductase subunit L	nuoL // b2278 // ECK2272	NADH:quinone oxidoreductase I	inner membrane
nuoM	b2277	2391512	2393041	NADH:quinone oxidoreductase subunit M	nuoM // nuoA // b2277 // ECK2271	NADH:quinone oxidoreductase I	inner membrane
nuoN	b2276	2390048	2391505	NADH:quinone oxidoreductase subunit N	nuoN // b2276 // ECK2270	NADH:quinone oxidoreductase I	inner membrane
nupC	b2393	2513042	2514244	nucleoside:H<sup>+</sup> symporter NupC	nupC // cru // b2393 // ECK2388		inner membrane
nupG	b2964	3105714	3106970	nucleoside:H<sup>+</sup> symporter NupG	nupG // gru // b2964 // ECK2959		inner membrane
nupX	b2161	2252895	2254145	putative nucleoside transporter	nupX // yeiJ // b2161 // ECK2154		inner membrane
nusA	b3169	3316039	3317526	transcription termination/antitermination protein NusA	nusA // b3169 // ECK3158		cytosol
nusB	b0416	435137	435556	transcription antitermination protein NusB	nusB // groNB // ssaD // ssyB // b0416 // ECK0410	NusB-S10 complex	cytosol
nusG	b3982	4177743	4178288	transcription termination/antitermination factor NusG	nusG // b3982 // ECK3973		cytosol
obgE	b3183	3330582	3331754	GTPase ObgE	obgE // yhbZ // cgtA // obg // b3183 // ECK3172		cytosol
och5		3067187	3067344	small regulatory RNA Och5	och5		
ogrK	b2082	2167302	2167520	prophage P2 late control protein OgrK	ogrK // b2082 // ECK2079		cytosol
ogt	b1335	1399721	1400236	methylated-DNA&mdash;[protein]-cysteine <i>S</i>-methyltransferase	ogt // b1335 // ECK1331		cytosol
ohsC	b4608	2700520	2700598	small regulatory RNA OhsC	ohsC // ryfC // b4608 // ECK4417		
ompA	b0957	1019013	1020053	outer membrane protein A	ompA // con // tolG // tut // b0957 // ECK0948		outer membrane // periplasmic space
ompC	b2215	2311646	2312749	outer membrane porin C	ompC // meoA // par // b2215 // ECK2207	outer membrane porin C	outer membrane
ompF	b0929	985894	986982	outer membrane porin F	ompF // nfxB // tolF // cmlB // cry // b0929 // ECK0920	outer membrane porin F	outer membrane
ompG	b1319	1381947	1382852	outer membrane porin G	ompG // b1319 // ECK1315		outer membrane
ompL	b3875	4063603	4064295	putative outer membrane porin L	ompL // yshA // b3875 // ECK3868		outer membrane
ompN	b1377	1435760	1436893	outer membrane porin N	ompN // ynaG // b1377 // ECK1372		outer membrane
ompR	b3405	3535865	3536584	OmpR-Phosphorylated // DNA-binding transcriptional dual regulator OmpR	ompR // cry // kmt // ompB // b3405 // ECK3392	DNA-binding transcriptional dual regulator OmpR-phosphorylated // OmpR dimer	cytosol
ompT	b0565	584680	585633	DLP12 prophage; omptin family outer membrane protease OmpT	ompT // b0565 // ECK0557		outer membrane
ompW	b1256	1314020	1314658	outer membrane protein W	ompW // yciD // b1256 // ECK1250		outer membrane
ompX	b0814	850450	850965	outer membrane protein X	ompX // ybiG // ompP // b0814 // ECK0803		outer membrane
omrA	b4444	2976102	2976189	small regulatory RNA OmrA	omrA // psrA12 // rygA // PAIR2a // t59 // sraE // b4444 // ECK2833		
omrB	b4445	2976304	2976385	small regulatory RNA OmrB	omrB // PAIR2b // t59 // rygB // b4445 // ECK2834		
opgB	b4359	4597150	4599441	phosphoglycerol transferase II // phosphoglycerol transferase I	opgB // yjjO // mdoB // b4359 // ECK4349		periplasmic space // inner membrane
opgC	b1047	1107784	1108941	osmoregulated periplasmic glucans (OPG) biosynthesis protein C	opgC // ymdD // mdoC // b1047 // ECK1033		inner membrane
opgD	b1424	1496856	1498511	glucans biosynthesis protein D	opgD // yzzZ // ydcG // mdoD // b1424 // ECK1418		periplasmic space
opgE	b0815	851014	852597	phosphoethanolamine transferase OpgE	opgE // ybiP // b0815 // ECK0804		inner membrane
opgG	b1048	1109335	1110870	osmoregulated periplasmic glucans biosynthesis protein G	opgG // mdoA // mdoG // b1048 // ECK1034		periplasmic space
opgH	b1049	1110863	1113406	osmoregulated periplasmic glucans biosynthesis protein H	opgH // mdoA // mdoH // b1049 // ECK1035		inner membrane
oppA	b1243	1301182	1302813	oligopeptide ABC transporter periplasmic binding protein	oppA // b1243 // ECK1237	oligopeptide ABC transporter	inner membrane // periplasmic space
oppB	b1244	1302899	1303819	murein tripeptide ABC transporter / oligopeptide ABC transporter inner membrane subunit OppB	oppB // b1244 // ECK1238	murein tripeptide ABC transporter // oligopeptide ABC transporter	inner membrane
oppC	b1245	1303834	1304742	murein tripeptide ABC transporter / oligopeptide ABC transporter inner membrane subunit OppC	oppC // b1245 // ECK1239	murein tripeptide ABC transporter // oligopeptide ABC transporter	inner membrane
oppD	b1246	1304754	1305767	murein tripeptide ABC transporter / oligopeptide ABC transporter ATP binding subunit OppD	oppD // b1246 // ECK1240	murein tripeptide ABC transporter // oligopeptide ABC transporter	inner membrane
oppF	b1247	1305764	1306768	murein tripeptide ABC transporter / oligopeptide ABC transporter ATP binding subunit OppF	oppF // b1247 // ECK1241	murein tripeptide ABC transporter // oligopeptide ABC transporter	inner membrane
orn	b4162	4391604	4392149	oligoribonuclease	orn // yjeR // b4162 // ECK4158	oligoribonuclease	cytosol
